id,title,time,lat,lng,decreepart
9367080,"Полицейские задержали гражданина, находящегося в федеральном розыске за убийство",2017-01-31 12:19:00,59.9342802,30.3350986,ч.1 ст.105 (Убийство); Уголовный Кодекс; Россия
9365692,"В Петербурге задержан гражданин, готовивший к сбыту крупную партию наркотиков",2017-01-31 10:30:00,59.8543839,30.1846125,ч.3 ст.30; Уголовный Кодекс; Россия
9365624,В Выборгском районе Петербурга задержан уличный грабитель,2017-01-31 10:23:00,60.06091809999999,30.3259041,ч.2 ст.161 (Грабеж); Уголовный Кодекс; Россия
9365429,В Ленобласти задержан подозреваемый в квартирной краже,2017-01-31 10:04:00,60.07623830000001,30.121383,ч.3 ст.158 (Кража); Уголовный Кодекс; Россия
9360464,В Купчино ликвидирован притон по оказанию услуг интимного характера,2017-01-30 14:49:00,59.832701,30.3933382,ст.6.11 (Занятие Проституцией); Кодекс Об Административных Правонарушениях; Россия
9360127,В Московском районе задержаны подозреваемые в покушении на убийство и разбое,2017-01-30 14:19:00,59.8607635,30.3504807,ч.3 ст.30; Уголовный Кодекс; Россия
9359722,Сотрудники петербургской полиции в Воронеже задержали подозреваемого в разбое и покушении на убийство,2017-01-30 13:32:00,60.07623830000001,30.121383,ч.2 ст.162 (Разбой); Уголовный Кодекс; Россия
9358582,В Тихвине полицейские задержали «ночного» похитителя товаров из супермаркета,2017-01-30 11:37:00,60.12586099999999,30.1359731,ч.3 ст.30; Уголовный Кодекс; Россия
9356546,Оперативники уголовного розыска по «горячим» следам задержали подозреваемых в квартирной краже,2017-01-30 09:11:00,59.84835589999999,30.2784263,ч.3 ст.158 (Кража); Уголовный Кодекс; Россия
9356200,В Петербурге задержан подозреваемый в попытке незаконного сбыта крупной партии наркотиков,2017-01-30 08:30:00,59.93562370000001,30.4949107,ч.3 ст.30; Уголовный Кодекс; Россия
9353777,В Приозерском районе задержан подозреваемый в угоне автомобиля,2017-01-29 11:00:00,60.8759893,30.1621132,ч.1 ст.166 (Неправомерное Завладение Транспортным Средством); Уголовный Кодекс; Россия
9353737,"Задержаны двое подростков, подозреваемых в ограблении девушки",2017-01-29 10:35:00,59.761761,30.5788969,ч.2 ст.161 (Грабеж); Уголовный Кодекс; Россия
9344196,В Невском районе Петербурга задержали автоугонщика,2017-01-27 10:46:00,59.8820843,30.4519938,ч.2 ст.158 (Кража); Уголовный Кодекс; Россия
